"country","gdp_pc","iso3c"
"Andorra",,"AND"
"United Arab Emirates",68548.5147178225,"ARE"
"Afghanistan",2241.92324554494,"AFG"
"Antigua and Barbuda",21614.066057539,"ATG"
"Albania",13833.9816028337,"ALB"
"Armenia",13014.9920304791,"ARM"
"Angola",7097.11876818067,"AGO"
"Argentina",23282.6370416077,"ARG"
"American Samoa",,"ASM"
"Austria",56871.2113998202,"AUT"
"Australia",51036.4058896921,"AUS"
"Aruba",,"ABW"
"Azerbaijan",14544.953356988,"AZE"
"Bosnia and Herzegovina",14932.3732053358,"BIH"
"Barbados",16044.7277974563,"BRB"
"Bangladesh",4546.22741835774,"BGD"
"Belgium",52249.5734616414,"BEL"
"Burkina Faso",2181.84586508627,"BFA"
"Bulgaria",22601.4034869416,"BGR"
"Bahrain",47333.491198074,"BHR"
"Burundi",779.493818360614,"BDI"
"Benin",3235.36169466976,"BEN"
"Bermuda",,"BMU"
"Brunei Darussalam",61813.8951635958,"BRN"
"Bolivia",8859.77372697949,"BOL"
"Brazil",14940.6726059252,"BRA"
"Bahamas, The",36338.2476758429,"BHS"
"Bhutan",11613.1624746864,"BTN"
"Botswana",18050.253744072,"BWA"
"Belarus",19330.8688790098,"BLR"
"Belize",7287.08497750719,"BLZ"
"Canada",50077.796236328,"CAN"
"Congo, Dem. Rep.",1111.51744670518,"COD"
"Central African Republic",955.128061489303,"CAF"
"Congo, Rep.",3494.98573870995,"COG"
"Switzerland",69357.4860551593,"CHE"
"Cote d'Ivoire",5147.58709147615,"CIV"
"Chile",24765.2345896396,"CHL"
"Cameroon",3688.58153418891,"CMR"
"China",15602.9414731562,"CHN"
"Colombia",14965.8953560561,"COL"
"Costa Rica",19873.1395497527,"CRI"
"Cuba",,"CUB"
"Cabo Verde",7026.12016117731,"CPV"
"Curacao",25571.6467592754,"CUW"
"Cyprus",39737.3251870293,"CYP"
"Czech Republic",40389.3576070809,"CZE"
"Germany",54456.9292560641,"DEU"
"Djibouti",5337.12492479801,"DJI"
"Denmark",57218.406447274,"DNK"
"Dominica",11805.5536203546,"DMA"
"Dominican Republic",18129.7086368998,"DOM"
