Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,1448632316.30018,1616875214.10394,1751000102.29998,1923475578.65426,2125718763.71264,2225571947.14485,2293196644.40587,2497125593.24556,2575533501.30282,2645065705.13018,2910162905.14092,2885630124.75028,2835314409.99551,2945022088.35871,3263578403.02588,3406102722.04425,3546046053.07329,3706854416.23706,3775529799.70984,3404108436.80451,3316870714.44956,3502845774.57458,3442855767.49202,3763011243.95947,3781966850.73614,3836108975.96603,3917952211.22873,4050523376.47918,,
Afghanistan,AFG,,,,,,,,,,,,,19821201271.5583,21972474898.7903,22883102403.4592,26245649891.7187,28488533287.8481,33298540638.3863,35278625596.5191,43151385721.8009,49924017473.1009,51184181904.429,59667003515.1962,65039839448.5561,69058343420.1602,71831696727.8086,75330255840.1204,79945392645.9093,83337636265.7692,87250728944.4127
Angola,AGO,38709470948.8884,40415258105.0005,38922956456.6563,30288921638.6873,31350046351.3814,36808514523.8519,42559256788.7367,46442408239.967,49168329924.0413,50966312279.6802,53697282995.3843,57183138419.8724,66025714961.4261,69262605548.4705,78917776860.1134,93605953258.1636,107575091999.451,125941005848.193,142727010219.385,145050047879.869,153870642699.406,162538809184.169,186124220333.292,199865635605.063,220364785384.766,204603585194.557,204874680466.818,217987314775.762,218660540133.38,220539051647.653
Albania,ALB,8376986178.18091,6235212802.81833,5918963419.8809,6638424150.17767,7343128919.00223,8495890852.29932,9438735430.85587,8553014290.86572,9451311882.69134,10792604265.7938,11930662644.4248,13162918484.6254,14221877961.2926,15181621919.2291,16414493745.9967,17663349396.0737,19627035264.8073,21609262463.1327,24251491685.4285,25825145932.67,28067491385.5994,29655560725.5372,30530476595.4375,30603951467.3962,32529133250.6393,33594691762.8129,34521644436.9397,37461287688.1091,39653392850.8041,41371722639.1626
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,1525561260041.65,1697083303019.76,1822789485937.1,1919197001665.09,2016644295568.54,2113490319034.6,2249987230087.18,2383853016153.7,2544860853290.69,2633149319320.4,2835892311266.49,2944981706147.27,3005961335159.93,3209956210890.83,3596988214187.94,3918473285218.12,4284785458025.17,4595771005895.41,4959543853949.53,5033903298422.96,5332388818391.86,5634174466236.03,6145913735082.6,6265778329592.59,6289223294906.61,5785827409123.15,5661472362022.03,5996329793304.68,6285285543841.85,6510706558959.54
United Arab Emirates,ARE,159487795645.507,166299397371.945,175778598505.842,182212714609.987,198937630078.518,216692716930.996,233455210609.434,256931523107.946,260582009366.879,272016137708.761,308278032480.648,319447556783.442,332397038610.063,368365956294.214,414471367012.205,448131906354.042,507111540744.244,537316172269.654,565251527233.398,539699098303.409,554739094155.566,605575063616.23,631707057954.974,647295742436.972,678339276123.81,601179365119.067,598811161712.48,637384703420.793,660187934758.245,682968554136.345
Argentina,ARG,234713747908.284,264812795177.095,292345602710.861,323833287156.027,350051492106.655,347222944474.802,373122012482.585,410342067531.587,430937274734.589,422359326216.666,428394155079.758,418489172650.759,378795278972.859,419925810757.108,470169433010.404,527729109471.343,587451576478.711,657569211301.791,697557858464.464,661275816698.303,736718360694.809,797263881242.037,819697901873.04,849616000404.317,839896688260.086,867176759338.262,885227528869.049,1037824306663.36,1035949340413.09,1031214906484.16
Armenia,ARM,9814665773.4896,8959424810.38728,5333216050.27859,4979132362.00606,5360070445.01499,5850061874.76154,6306590693.79547,6628399567.21075,7192322817.74844,7536939292.70092,8160045754.68903,9139577171.75554,10509650580.6688,12203500269.0459,13847909043.0993,16264081041.5992,18968092453.7994,22146063390.6535,24134635012.1214,20889699217.7597,21598045115.9375,23085520248.3701,27009096448.5442,28500152360.1441,29231468082.4189,29166842740.5399,31429192104.4043,35676528915.4364,38417341115.7596,42057833682.8351
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
