"ID","Mark","Competitor","Nationality","Venue","Date","Event","Gender","State_Dope","Time_S"
1,"10.81","Marlies Göhr","GDR","Berlin",1983-06-08,"100-metres","women","GDR",10.81
2,"10.83","Marita Koch","GDR","Berlin",1983-06-08,"100-metres","women","GDR",10.83
3,"21.71","Marita Koch","GDR","Karl-Marx-Stadt",1979-06-10,"200-metres","women","GDR",21.71
4,"21.71","Marita Koch","GDR","Potsdam",1984-07-21,"200-metres","women","GDR",21.71
5,"21.71","Heike Drechsler","GDR","Jena",1986-06-29,"200-metres","women","GDR",21.71
6,"21.71","Heike Drechsler","GDR","Stuttgart",1986-08-29,"200-metres","women","GDR",21.71
7,"21.74","Marlies Göhr","GDR","Erfurt",1984-06-03,"200-metres","women","GDR",21.74
8,"21.74","Silke Gladisch-Möller","GDR","Roma (Stadio Olimpico)",1987-09-03,"200-metres","women","GDR",21.74
9,"21.76","Marita Koch","GDR","Dresden",1982-07-03,"200-metres","women","GDR",21.76
10,"21.78","Marita Koch","GDR","Leipzig",1985-08-11,"200-metres","women","GDR",21.78
11,"21.79","Silke Gladisch-Möller","GDR","Potsdam",1987-08-22,"200-metres","women","GDR",21.79
12,"21.82","Marita Koch","GDR","Karl-Marx-Stadt",1983-06-18,"200-metres","women","GDR",21.82
13,"21.85","Bärbel Wöckel","GDR","Potsdam",1984-07-21,"200-metres","women","GDR",21.85
14,"21.87","Marita Koch","GDR","Zürich",1984-08-22,"200-metres","women","GDR",21.87
15,"21.90","Marita Koch","GDR","Dresden",1985-08-03,"200-metres","women","GDR",21.9
16,"21.90","Marita Koch","GDR","Canberra (Bruce Stadium)",1985-10-04,"200-metres","women","GDR",21.9
17,"21.95","Heike Drechsler","GDR","Seoul (Olympic Stadium)",1988-09-29,"200-metres","women","GDR",21.95
18,"21.95","Katrin Krabbe","GDR","Split (Poljud Stadion)",1990-08-30,"200-metres","women","GDR",21.95
19,"21.99","Silke Gladisch-Möller","GDR","Praha",1987-06-28,"200-metres","women","GDR",21.99
20,"47.60","Marita Koch","GDR","Canberra (Bruce Stadium)",1985-10-06,"400-metres","women","GDR",47.6
21,"48.16","Marita Koch","GDR","Athína",1982-09-08,"400-metres","women","GDR",48.16
22,"48.16","Marita Koch","GDR","Praha (Stadion Rošický)",1984-08-16,"400-metres","women","GDR",48.16
23,"48.22","Marita Koch","GDR","Stuttgart",1986-08-28,"400-metres","women","GDR",48.22
24,"48.26","Marita Koch","GDR","Dresden",1984-07-27,"400-metres","women","GDR",48.26
25,"48.60","Marita Koch","GDR","Torino",1979-08-04,"400-metres","women","GDR",48.6
26,"48.77","Marita Koch","GDR","Karl-Marx-Stadt",1982-07-09,"400-metres","women","GDR",48.77
27,"48.86","Marita Koch","GDR","Erfurt",1984-06-02,"400-metres","women","GDR",48.86
28,"48.87","Marita Koch","GDR","Bruxelles",1982-08-27,"400-metres","women","GDR",48.87
29,"48.88","Marita Koch","GDR","Moskva (Lenin Stadium)",1980-07-28,"400-metres","women","GDR",48.88
30,"48.89","Marita Koch","GDR","Potsdam",1979-07-29,"400-metres","women","GDR",48.89
31,"48.89","Marita Koch","GDR","Berlin",1984-07-15,"400-metres","women","GDR",48.89
32,"48.94","Marita Koch","GDR","Praha (Stadion Rošický)",1978-08-31,"400-metres","women","GDR",48.94
33,"48.97","Marita Koch","GDR","Montréal (Olympic Stadium)",1979-08-26,"400-metres","women","GDR",48.97
34,"48.97","Marita Koch","GDR","Berlin",1985-09-22,"400-metres","women","GDR",48.97
35,"49.03","Marita Koch","GDR","Potsdam",1978-08-19,"400-metres","women","GDR",49.03
36,"49.15","Marita Koch","GDR","Erfurt",1980-05-18,"400-metres","women","GDR",49.15
37,"49.17","Marita Koch","GDR","Roma (Stadio Olimpico)",1986-09-10,"400-metres","women","GDR",49.17
38,"49.19","Marita Koch","GDR","Leipzig",1978-07-02,"400-metres","women","GDR",49.19
39,"49.24","Sabine Busch","GDR","Erfurt",1984-06-02,"400-metres","women","GDR",49.24
40,"49.24","Marita Koch","GDR","Dresden",1986-08-16,"400-metres","women","GDR",49.24
41,"49.27","Marita Koch","GDR","Roma (Stadio Olimpico)",1981-09-06,"400-metres","women","GDR",49.27
42,"49.28","Marita Koch","GDR","Bruxelles",1986-09-05,"400-metres","women","GDR",49.28
43,"49.30","Petra Schersing","GDR","Jena",1988-06-03,"400-metres","women","GDR",49.3
44,"12.42","Bettine Jahn","GDR","Berlin",1983-06-08,"100-metres-hurdles","women","GDR",12.42
45,"12.44","Gloria Siebert","GDR","Roma (Stadio Olimpico)",1987-09-04,"100-metres-hurdles","women","GDR",12.44
46,"12.45","Cornelia Oschkenat","GDR","Neubrandenburg (Jahn Sportpark)",1987-06-11,"100-metres-hurdles","women","GDR",12.45
47,"12.46","Cornelia Oschkenat","GDR","Roma (Stadio Olimpico)",1987-09-04,"100-metres-hurdles","women","GDR",12.46
48,"53.24","Sabine Busch","GDR","Potsdam",1987-08-21,"400-metres-hurdles","women","GDR",53.24
49,"53.58","Cornelia Feuerbach-Ullrich","GDR","Potsdam",1987-08-21,"400-metres-hurdles","women","GDR",53.58
50,"53.63","Ellen Neumann-Fiedler","GDR","Seoul (Olympic Stadium)",1988-09-28,"400-metres-hurdles","women","GDR",53.63
51,"41.37","German Democratic Republic","GDR","Canberra (Bruce Stadium)",1985-10-06,"4x100-metres-relay","women","GDR",41.37
52,"41.53","German Democratic Republic","GDR","Berlin",1983-07-31,"4x100-metres-relay","women","GDR",41.53
53,"41.60","German Democratic Republic","GDR","Moskva (Lenin Stadium)",1980-08-01,"4x100-metres-relay","women","GDR",41.6
54,"41.65","German Democratic Republic","GDR","Moskva",1985-08-17,"4x100-metres-relay","women","GDR",41.65
55,"41.68","German Democratic Republic","GDR","Split (Poljud Stadion)",1990-09-01,"4x100-metres-relay","women","GDR",41.68
56,"41.69","German Democratic Republic","GDR","Potsdam",1984-07-21,"4x100-metres-relay","women","GDR",41.69
57,"41.73","German Democratic Republic","GDR","Berlin",1988-09-13,"4x100-metres-relay","women","GDR",41.73
58,"41.76","German Democratic Republic","GDR","Helsinki (Olympic Stadium)",1983-08-10,"4x100-metres-relay","women","GDR",41.76
59,"41.79","German Democratic Republic","GDR","Karl-Marx-Stadt",1987-06-20,"4x100-metres-relay","women","GDR",41.79
60,"41.84","German Democratic Republic","GDR","Stuttgart (Gottlieb-Daimler Stadion)",1986-08-31,"4x100-metres-relay","women","GDR",41.84
61,"41.85","German Democratic Republic","GDR","Potsdam",1980-07-13,"4x100-metres-relay","women","GDR",41.85
